sensor_id;sensor_type;location;lat;lon;timestamp;value_type;value
792;pms5003;3981;-1.269;36.819;2026-07-01T01:14:50.675434+00:00;P2;15.60
792;pms5003;3981;-1.269;36.819;2026-07-01T01:14:50.675434+00:00;P1;16.80
792;pms5003;3981;-1.269;36.819;2026-07-01T01:14:50.675434+00:00;P0;11.00
793;DHT22;3981;-1.269;36.819;2026-07-01T01:15:08.370832+00:00;humidity;99.90
793;DHT22;3981;-1.269;36.819;2026-07-01T01:15:08.370832+00:00;temperature;17.50
4976;pms5003;76;-1.261;36.782;2026-07-01T01:17:27+00:00;P2;14
4976;pms5003;76;-1.261;36.782;2026-07-01T01:17:27+00:00;P1;14
4976;pms5003;76;-1.261;36.782;2026-07-01T01:17:27+00:00;P0;9
4977;DHT22;76;-1.261;36.782;2026-07-01T01:17:29+00:00;humidity;99.9
4977;DHT22;76;-1.261;36.782;2026-07-01T01:17:29+00:00;temperature;16.5
4962;pms5003;76;-1.261;36.782;2026-07-01T01:17:59+00:00;P2;15
4962;pms5003;76;-1.261;36.782;2026-07-01T01:17:59+00:00;P1;15
4962;pms5003;76;-1.261;36.782;2026-07-01T01:17:59+00:00;P0;10
4963;DHT22;76;-1.261;36.782;2026-07-01T01:18:02+00:00;humidity;99.9
4963;DHT22;76;-1.261;36.782;2026-07-01T01:18:02+00:00;temperature;16.4
792;pms5003;3981;-1.269;36.819;2026-07-01T01:20:26.671540+00:00;P2;16.40
792;pms5003;3981;-1.269;36.819;2026-07-01T01:20:26.671540+00:00;P1;18.00
792;pms5003;3981;-1.269;36.819;2026-07-01T01:20:26.671540+00:00;P0;11.00
793;DHT22;3981;-1.269;36.819;2026-07-01T01:20:44.384118+00:00;humidity;99.90
793;DHT22;3981;-1.269;36.819;2026-07-01T01:20:44.384118+00:00;temperature;17.80
4976;pms5003;76;-1.261;36.782;2026-07-01T01:23:03+00:00;P2;18
4976;pms5003;76;-1.261;36.782;2026-07-01T01:23:03+00:00;P1;21
4976;pms5003;76;-1.261;36.782;2026-07-01T01:23:03+00:00;P0;11
4977;DHT22;76;-1.261;36.782;2026-07-01T01:23:05+00:00;humidity;99.9
4977;DHT22;76;-1.261;36.782;2026-07-01T01:23:05+00:00;temperature;16.5
4962;pms5003;76;-1.261;36.782;2026-07-01T01:23:36+00:00;P2;20
4962;pms5003;76;-1.261;36.782;2026-07-01T01:23:36+00:00;P1;20
4962;pms5003;76;-1.261;36.782;2026-07-01T01:23:36+00:00;P0;10
4963;DHT22;76;-1.261;36.782;2026-07-01T01:23:38+00:00;humidity;99.9
4963;DHT22;76;-1.261;36.782;2026-07-01T01:23:38+00:00;temperature;16.5
792;pms5003;3981;-1.269;36.819;2026-07-01T01:26:02.686318+00:00;P2;28.20
792;pms5003;3981;-1.269;36.819;2026-07-01T01:26:02.686318+00:00;P1;32.80
792;pms5003;3981;-1.269;36.819;2026-07-01T01:26:02.686318+00:00;P0;21.20
793;DHT22;3981;-1.269;36.819;2026-07-01T01:26:20.208783+00:00;humidity;99.90
793;DHT22;3981;-1.269;36.819;2026-07-01T01:26:20.208783+00:00;temperature;17.50
4976;pms5003;76;-1.261;36.782;2026-07-01T01:29:22+00:00;P2;21
4976;pms5003;76;-1.261;36.782;2026-07-01T01:29:22+00:00;P1;24
4976;pms5003;76;-1.261;36.782;2026-07-01T01:29:22+00:00;P0;13
4977;DHT22;76;-1.261;36.782;2026-07-01T01:29:24+00:00;humidity;99.9
4977;DHT22;76;-1.261;36.782;2026-07-01T01:29:24+00:00;temperature;16.6
4962;pms5003;76;-1.261;36.782;2026-07-01T01:29:54+00:00;P2;17
4962;pms5003;76;-1.261;36.782;2026-07-01T01:29:54+00:00;P1;18
4962;pms5003;76;-1.261;36.782;2026-07-01T01:29:54+00:00;P0;10
4963;DHT22;76;-1.261;36.782;2026-07-01T01:29:56+00:00;humidity;99.9
4963;DHT22;76;-1.261;36.782;2026-07-01T01:29:56+00:00;temperature;16.5
792;pms5003;3981;-1.269;36.819;2026-07-01T01:31:41.399042+00:00;P2;37.60
792;pms5003;3981;-1.269;36.819;2026-07-01T01:31:41.399042+00:00;P1;46.60
792;pms5003;3981;-1.269;36.819;2026-07-01T01:31:41.399042+00:00;P0;26.00
793;DHT22;3981;-1.269;36.819;2026-07-01T01:31:58.884732+00:00;humidity;99.90
793;DHT22;3981;-1.269;36.819;2026-07-01T01:31:58.884732+00:00;temperature;17.50
4976;pms5003;76;-1.261;36.782;2026-07-01T01:34:58+00:00;P2;14
4976;pms5003;76;-1.261;36.782;2026-07-01T01:34:58+00:00;P1;14
4976;pms5003;76;-1.261;36.782;2026-07-01T01:34:58+00:00;P0;9
4977;DHT22;76;-1.261;36.782;2026-07-01T01:35:01+00:00;humidity;99.9
4977;DHT22;76;-1.261;36.782;2026-07-01T01:35:01+00:00;temperature;16.7
4962;pms5003;76;-1.261;36.782;2026-07-01T01:35:30+00:00;P2;16
4962;pms5003;76;-1.261;36.782;2026-07-01T01:35:30+00:00;P1;18
